matrix_index,side_effect_name,sider_found,sider_pt_row_count,umls_cui_count,umls_cuis,matched_meddra_names,mapping_status
30,other allergic pneumonitis,False,0,0,[],[],unmatched
31,amblyopia,True,86,1,"[""C0002418""]","[""Amblyopia""]",unique_umls
32,amenorrhoea,True,101,1,"[""C0002453""]","[""Amenorrhoea""]",unique_umls
33,amnesia,True,176,1,"[""C0002622""]","[""Amnesia""]",unique_umls
34,amylase increased,True,53,1,"[""C0151479""]","[""Amylase increased""]",unique_umls
35,anaemia,True,1035,1,"[""C0002871""]","[""Anaemia""]",unique_umls
36,anaemia large cell,False,0,0,[],[],unmatched
37,anaemia megaloblastic,True,7,1,"[""C0002888""]","[""Anaemia megaloblastic""]",unique_umls
38,anal pruritus,True,9,1,"[""C0033775""]","[""Anal pruritus""]",unique_umls
39,anaphylactic shock,True,420,1,"[""C0002792""]","[""Anaphylactic shock""]",unique_umls
40,anaphylaxis reaction,False,0,0,[],[],unmatched
41,aneurysm,True,7,1,"[""C0002940""]","[""Aneurysm""]",unique_umls
42,anger,True,30,1,"[""C0002957""]","[""Anger""]",unique_umls
43,angina pectoris,True,235,1,"[""C0002962""]","[""Angina pectoris""]",unique_umls
44,angioedema,True,349,1,"[""C0002994""]","[""Angioedema""]",unique_umls
45,angiopathy,True,224,1,"[""C0042373""]","[""Angiopathy""]",unique_umls
46,angle closure glaucoma,True,24,1,"[""C0017605""]","[""Angle closure glaucoma""]",unique_umls
47,anorectal discomfort,True,44,1,"[""C2242737""]","[""Anorectal discomfort""]",unique_umls
48,anorectal disorder,True,28,1,"[""C0687707""]","[""Anorectal disorder""]",unique_umls
49,inability to orgasm,False,0,0,[],[],unmatched
50,antisocial behaviour,True,6,1,"[""C0233523""]","[""Antisocial behaviour""]",unique_umls
51,antisocial personality disorder,True,6,1,"[""C0003431""]","[""Antisocial personality disorder""]",unique_umls
52,arrest of urinary output,False,0,0,[],[],unmatched
53,anxiety,True,821,1,"[""C0003467""]","[""Anxiety""]",unique_umls
54,apathy,True,72,1,"[""C0085632""]","[""Apathy""]",unique_umls
55,aphasia,True,70,1,"[""C0003537""]","[""Aphasia""]",unique_umls
56,aplasia pure red cell,True,17,1,"[""C0034902""]","[""Aplasia pure red cell""]",unique_umls
57,aplastic anaemia,True,70,1,"[""C0002874""]","[""Aplastic anaemia""]",unique_umls
58,apnoea,True,59,1,"[""C0003578""]","[""Apnoea""]",unique_umls
59,appendicitis,True,8,1,"[""C0003615""]","[""Appendicitis""]",unique_umls
60,application site burn,True,51,1,"[""C0877661""]","[""Application site burn""]",unique_umls
61,application site dryness,True,20,1,"[""C0877098""]","[""Application site dryness""]",unique_umls
62,application site erythema,True,69,1,"[""C0853700""]","[""Application site erythema""]",unique_umls
63,application site irritation,True,62,1,"[""C0521490""]","[""Application site irritation""]",unique_umls
64,application site pain,True,84,1,"[""C0521491""]","[""Application site pain""]",unique_umls
65,application site paresthesia,False,0,0,[],[],unmatched
