matrix_index,drug_name,stitch_id,optimuskg_id,optimuskg_name,mapping_method,mapping_confidence,candidate_count,resolution_status
277,furosemide,CIDm00003440,CHEMBL35,FUROSEMIDE,unique_exact,high,1,resolved
278,tizanidine,CIDm00005487,CHEMBL1079,TIZANIDINE,unique_exact,high,1,resolved
279,eplerenone,CIDm00443872,CHEMBL1095097,EPLERENONE,unique_exact,high,1,resolved
280,amprenavir,CIDm00065016,CHEMBL116,AMPRENAVIR,unique_exact,high,1,resolved
281,naltrexone,CIDm05360515,CHEMBL19019,NALTREXONE,unique_exact,high,1,resolved
282,delavirdine,CIDm00005625,CHEMBL593,DELAVIRDINE,unique_exact,high,1,resolved
283,tamsulosin,CIDm00129211,CHEMBL836,TAMSULOSIN,unique_exact,high,1,resolved
284,porfimer.sodium,CIDm03086257,"","","","",2,ambiguous
285,sufentanil,CIDm00041693,CHEMBL658,SUFENTANIL,unique_exact,high,1,resolved
286,lamivudine,CIDm00060825,"","","","",2,ambiguous
287,ibandronic.acid,CIDm00060852,CHEMBL997,IBANDRONIC ACID,dot_normalized_exact,high,1,resolved
288,apomorphine,CIDm00006005,CHEMBL53,APOMORPHINE,unique_exact,high,1,resolved
289,paroxetine,CIDm00043815,CHEMBL490,PAROXETINE,unique_exact,high,1,resolved
