matrix_index,drug_name,stitch_id,name_resolution_status,name_selected_id,name_candidate_ids,structure_status,structure_match_ids,intersection_ids,proposed_optimuskg_id,evidence_class,confidence,final_status
20,enfuvirtide,CIDm16130199,ambiguous,"","[""CHEMBL525076"",""DRUGBANK:DB00109""]",equivalent_structure_group,"[""CHEMBL525076"",""DRUGBANK:DB00109""]","[""CHEMBL525076"",""DRUGBANK:DB00109""]","",unresolved_ambiguous,review_required,unresolved
21,glutamine,CIDm00005961,resolved,CHEMBL930,"[""CHEMBL930""]",stitch_not_found,[],[],CHEMBL930,name_only_resolved,high,resolved
22,calcitriol,CIDm05280453,resolved,CHEMBL846,"[""CHEMBL846""]",stitch_not_found,[],[],CHEMBL846,name_only_resolved,high,resolved
23,pravastatin,CIDm00054687,resolved,CHEMBL1144,"[""CHEMBL1144""]",stitch_not_found,[],[],CHEMBL1144,name_only_resolved,high,resolved
24,fluvoxamine,CIDm05324345,resolved,CHEMBL814,"[""CHEMBL814""]",stitch_not_found,[],[],CHEMBL814,name_only_resolved,high,resolved
25,valsartan,CIDm00060846,resolved,CHEMBL1069,"[""CHEMBL1069""]",stitch_not_found,[],[],CHEMBL1069,name_only_resolved,high,resolved
26,ramipril,CIDm05362129,resolved,CHEMBL1168,"[""CHEMBL1168""]",stitch_not_found,[],[],CHEMBL1168,name_only_resolved,high,resolved
27,flunisolide,CIDm00082153,resolved,CHEMBL1512,"[""CHEMBL1512""]",stitch_not_found,[],[],CHEMBL1512,name_only_resolved,high,resolved
28,baclofen,CIDm00002284,resolved,CHEMBL701,"[""CHEMBL701""]",multiple_structure_matches,"[""CHEMBL301742"",""CHEMBL701""]","[""CHEMBL701""]",CHEMBL701,confirmed_name_structure,very_high,resolved
29,nicotine,CIDm00089594,resolved,CHEMBL3,"[""CHEMBL3""]",stitch_not_found,[],[],CHEMBL3,name_only_resolved,high,resolved
30,cevimeline,CIDm00083898,ambiguous,"","[""CHEMBL168815"",""CHEMBL2218917"",""DRUGBANK:DB00185""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
31,lorazepam,CIDm00003958,resolved,CHEMBL580,"[""CHEMBL580""]",unique_structure_match,"[""CHEMBL580""]","[""CHEMBL580""]",CHEMBL580,confirmed_name_structure,very_high,resolved
32,esmolol,CIDm00059768,resolved,CHEMBL768,"[""CHEMBL768""]",multiple_structure_matches,"[""CHEMBL1201115"",""CHEMBL768""]","[""CHEMBL768""]",CHEMBL768,confirmed_name_structure,very_high,resolved
33,bortezomib,CIDm00387447,ambiguous,"","[""CHEMBL325041"",""RXNORM:358258""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
34,tramadol,CIDm00033741,resolved,CHEMBL1237044,"[""CHEMBL1066"",""CHEMBL1237044""]",stitch_not_found,[],[],CHEMBL1237044,supported_canonical_name,high,resolved
35,betaxolol,CIDm00002369,resolved,CHEMBL423,"[""CHEMBL1691"",""CHEMBL423""]",multiple_structure_matches,"[""CHEMBL1200837"",""CHEMBL1201274"",""CHEMBL1691"",""CHEMBL423""]","[""CHEMBL1691"",""CHEMBL423""]",CHEMBL423,confirmed_name_structure,very_high,resolved
36,fluconazole,CIDm00003365,resolved,CHEMBL106,"[""CHEMBL106""]",unique_structure_match,"[""CHEMBL106""]","[""CHEMBL106""]",CHEMBL106,confirmed_name_structure,very_high,resolved
37,oseltamivir,CIDm00065028,resolved,CHEMBL1229,"[""CHEMBL1229""]",stitch_not_found,[],[],CHEMBL1229,name_only_resolved,high,resolved
38,caffeine,CIDm00002519,resolved,CHEMBL113,"[""CHEMBL113""]",multiple_structure_matches,"[""CHEMBL113"",""CHEMBL1200569""]","[""CHEMBL113""]",CHEMBL113,confirmed_name_structure,very_high,resolved
39,sildenafil,CIDm00005212,resolved,CHEMBL192,"[""CHEMBL192""]",multiple_structure_matches,"[""CHEMBL1737"",""CHEMBL192""]","[""CHEMBL192""]",CHEMBL192,confirmed_name_structure,very_high,resolved
